EmployeeNumber,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,,HourlyRate,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
515,37,0,Travel_Rarely,1107,Research & Development,14,Bachelor,Life Sciences,Female,95,1,Laboratory Technician,Low,Divorced,3034,26914,1,Yes,No,12,Excellent,High,18,2,2,18,7,12
516,40,0,Travel_Rarely,759,Sales,2,College,Marketing,Female,46,2,Sales Executive,Medium,Divorced,5715,22553,7,Yes,No,12,Excellent,High,8,5,3,5,4,1
517,42,0,Travel_Rarely,201,Research & Development,1,Master,Life Sciences,Female,95,1,Laboratory Technician,Low,Divorced,2576,20490,3,Yes,No,16,Excellent,Medium,8,5,3,5,2,1
518,37,0,Travel_Rarely,1305,Research & Development,10,Master,Life Sciences,Male,49,2,Manufacturing Director,Medium,Single,4197,21123,2,Yes,Yes,12,Excellent,Very High,18,2,2,1,0,0
520,43,0,Travel_Rarely,982,Research & Development,12,Bachelor,Life Sciences,Male,59,4,Research Director,Medium,Divorced,14336,4345,1,Yes,No,11,Excellent,High,25,3,3,25,10,3
521,40,0,Travel_Rarely,555,Research & Development,2,Bachelor,Medical,Female,78,2,Laboratory Technician,High,Married,3448,13436,6,Yes,No,22,Outstanding,Medium,20,3,3,1,0,0
522,54,0,Travel_Rarely,821,Research & Development,5,College,Medical,Male,86,5,Research Director,Low,Married,19406,8509,4,Yes,No,11,Excellent,High,24,4,2,4,2,1
523,34,0,Non-Travel,1381,Sales,4,Master,Marketing,Female,72,2,Sales Executive,High,Married,6538,12740,9,Yes,No,15,Excellent,Low,6,3,3,3,2,1
524,31,0,Travel_Rarely,480,Research & Development,7,College,Medical,Female,31,2,Manufacturing Director,Low,Married,4306,4156,1,Yes,No,12,Excellent,Medium,13,5,1,13,10,3
525,43,0,Travel_Frequently,313,Research & Development,21,Bachelor,Medical,Male,61,1,Laboratory Technician,Very High,Married,2258,15238,7,Yes,No,20,Outstanding,Low,8,1,3,3,2,1
526,43,0,Travel_Rarely,1473,Research & Development,8,Master,Other,Female,74,2,Healthcare Representative,High,Divorced,4522,2227,4,Yes,Yes,14,Excellent,Very High,8,3,3,5,2,0
527,25,0,Travel_Rarely,891,Sales,4,College,Life Sciences,Female,99,2,Sales Executive,Very High,Single,4487,12090,1,Yes,Yes,11,Excellent,Medium,5,3,3,5,4,1
529,37,0,Non-Travel,1063,Research & Development,25,Doctor,Medical,Female,72,2,Research Scientist,High,Married,4449,23866,3,Yes,Yes,15,Excellent,Low,15,2,3,13,11,10
530,31,0,Travel_Rarely,329,Research & Development,1,College,Life Sciences,Male,98,1,Laboratory Technician,Low,Married,2218,16193,1,Yes,No,12,Excellent,High,4,3,3,4,2,3
531,39,0,Travel_Frequently,1218,Research & Development,1,Below College,Life Sciences,Male,52,5,Manager,High,Divorced,19197,8213,1,Yes,Yes,14,Excellent,High,21,3,3,21,8,1
532,56,0,Travel_Frequently,906,Sales,6,Bachelor,Life Sciences,Female,86,4,Sales Executive,Low,Married,13212,18256,9,Yes,No,11,Excellent,Very High,36,0,2,7,7,7
533,30,0,Travel_Rarely,1082,Sales,12,Bachelor,Technical Degree,Female,83,2,Sales Executive,High,Single,6577,19558,0,Yes,No,11,Excellent,Medium,6,6,3,5,4,4
534,41,0,Travel_Rarely,645,Sales,1,Bachelor,Marketing,Male,49,3,Sales Executive,Low,Married,8392,19566,1,Yes,No,16,Excellent,High,10,2,3,10,7,0
536,28,0,Travel_Rarely,1300,Research & Development,17,College,Medical,Male,79,2,Laboratory Technician,Low,Divorced,4558,13535,1,Yes,No,12,Excellent,Very High,10,2,3,10,0,1
538,25,1,Travel_Rarely,688,Research & Development,3,Bachelor,Medical,Male,91,1,Laboratory Technician,Low,Married,4031,9396,5,Yes,No,13,Excellent,High,6,5,3,2,2,0
543,52,0,Travel_Rarely,319,Research & Development,3,Bachelor,Medical,Male,39,3,Manufacturing Director,High,Married,7969,19609,2,Yes,Yes,14,Excellent,High,28,4,3,5,4,0
544,45,0,Travel_Rarely,192,Research & Development,10,College,Life Sciences,Male,69,1,Research Scientist,Very High,Married,2654,9655,3,Yes,No,21,Outstanding,Very High,8,3,2,2,2,0
546,52,0,Travel_Rarely,1490,Research & Development,4,College,Life Sciences,Female,30,4,Manager,Very High,Married,16555,10310,2,Yes,No,13,Excellent,Very High,31,2,1,5,2,1
547,42,0,Travel_Frequently,532,Research & Development,29,College,Life Sciences,Female,92,2,Research Scientist,High,Divorced,4556,12932,2,Yes,No,11,Excellent,Medium,19,3,3,5,4,0
548,30,0,Travel_Rarely,317,Research & Development,2,Bachelor,Life Sciences,Female,43,2,Manufacturing Director,Very High,Single,6091,24793,2,Yes,No,20,Outstanding,High,11,2,3,5,4,0
549,60,0,Travel_Rarely,422,Research & Development,7,Bachelor,Life Sciences,Female,41,5,Manager,Low,Married,19566,3854,5,Yes,No,11,Excellent,Very High,33,5,1,29,8,11
550,46,0,Travel_Rarely,1485,Research & Development,18,Bachelor,Medical,Female,87,2,Manufacturing Director,High,Divorced,4810,26314,2,Yes,No,14,Excellent,High,19,5,2,10,7,0
551,42,0,Travel_Frequently,1368,Research & Development,28,Master,Technical Degree,Female,88,2,Healthcare Representative,Very High,Married,4523,4386,0,Yes,No,11,Excellent,Very High,7,4,4,6,5,0
554,24,1,Travel_Rarely,1448,Sales,1,Below College,Technical Degree,Female,62,1,Sales Representative,Medium,Single,3202,21972,1,Yes,Yes,16,Excellent,Medium,6,4,3,5,3,1
555,34,1,Travel_Frequently,296,Sales,6,College,Marketing,Female,33,1,Sales Representative,High,Divorced,2351,12253,0,Yes,No,16,Excellent,Very High,3,3,2,2,2,1
556,38,0,Travel_Frequently,1490,Research & Development,2,College,Life Sciences,Male,42,1,Laboratory Technician,Very High,Married,1702,12106,1,Yes,Yes,23,Outstanding,High,1,3,3,1,0,0
558,40,0,Travel_Rarely,1398,Sales,2,Master,Life Sciences,Female,79,5,Manager,High,Married,18041,13022,0,Yes,No,14,Excellent,Very High,21,2,3,20,15,1
560,26,0,Travel_Rarely,1349,Research & Development,23,Bachelor,Life Sciences,Female,90,1,Research Scientist,Very High,Divorced,2886,3032,1,Yes,No,22,Outstanding,Medium,3,3,1,3,2,0
562,30,0,Non-Travel,1400,Research & Development,3,Bachelor,Life Sciences,Male,53,1,Laboratory Technician,Very High,Married,2097,16734,4,Yes,No,15,Excellent,High,9,3,1,5,3,1
564,29,0,Travel_Rarely,986,Research & Development,3,Master,Medical,Male,93,3,Research Director,High,Married,11935,21526,1,Yes,No,18,Excellent,High,10,2,3,10,2,0
565,29,1,Travel_Rarely,408,Research & Development,25,Doctor,Technical Degree,Female,71,1,Research Scientist,Medium,Married,2546,18300,5,Yes,No,16,Excellent,Medium,6,2,4,2,2,1
566,19,1,Travel_Rarely,489,Human Resources,2,College,Technical Degree,Male,52,1,Human Resources,Very High,Single,2564,18437,1,Yes,No,12,Excellent,High,1,3,4,1,0,0
567,30,0,Non-Travel,1398,Sales,22,Master,Other,Female,69,3,Sales Executive,Low,Married,8412,2890,0,Yes,No,11,Excellent,High,10,3,3,9,8,7
568,57,0,Travel_Rarely,210,Sales,29,Bachelor,Marketing,Male,56,4,Manager,Very High,Divorced,14118,22102,3,Yes,No,12,Excellent,High,32,3,2,1,0,0
569,50,0,Travel_Rarely,1099,Research & Development,29,Master,Life Sciences,Male,88,4,Manager,High,Married,17046,9314,0,Yes,No,15,Excellent,Medium,28,2,3,27,10,15
571,30,0,Non-Travel,1116,Research & Development,2,Bachelor,Medical,Female,49,1,Laboratory Technician,Very High,Single,2564,7181,0,Yes,No,14,Excellent,High,12,2,2,11,7,6
573,60,0,Travel_Frequently,1499,Sales,28,Bachelor,Marketing,Female,80,3,Sales Executive,Low,Married,10266,2845,4,Yes,No,19,Excellent,Very High,22,5,4,18,13,13
574,47,0,Travel_Rarely,983,Research & Development,2,College,Medical,Female,65,2,Manufacturing Director,Very High,Divorced,5070,7389,5,Yes,No,13,Excellent,High,20,2,3,5,0,0
575,46,0,Travel_Rarely,1009,Research & Development,2,Bachelor,Life Sciences,Male,51,4,Research Director,High,Married,17861,2288,6,Yes,No,13,Excellent,High,26,2,1,3,2,0
577,35,0,Travel_Rarely,144,Research & Development,22,Bachelor,Life Sciences,Male,46,1,Laboratory Technician,High,Single,4230,19225,0,Yes,No,15,Excellent,High,6,2,3,5,4,4
578,54,0,Travel_Rarely,548,Research & Development,8,Master,Life Sciences,Female,42,2,Laboratory Technician,High,Single,3780,23428,7,Yes,No,11,Excellent,High,19,3,3,1,0,0
579,34,0,Travel_Rarely,1303,Research & Development,2,Master,Life Sciences,Male,62,1,Research Scientist,High,Divorced,2768,8416,3,Yes,No,12,Excellent,High,14,3,3,7,3,5
580,46,0,Travel_Rarely,1125,Sales,10,Bachelor,Marketing,Female,94,3,Sales Executive,Very High,Married,9071,11563,2,Yes,Yes,19,Excellent,High,15,3,3,3,2,1
581,31,0,Travel_Rarely,1274,Research & Development,9,Below College,Life Sciences,Male,33,3,Manufacturing Director,Medium,Divorced,10648,14394,1,Yes,No,25,Outstanding,Very High,13,6,4,13,8,0
582,33,1,Travel_Rarely,1277,Research & Development,15,Below College,Medical,Male,56,3,Manager,High,Married,13610,24619,7,Yes,Yes,12,Excellent,Very High,15,2,4,7,6,7
584,33,1,Travel_Rarely,587,Research & Development,10,Below College,Medical,Male,38,1,Laboratory Technician,Very High,Divorced,3408,6705,7,Yes,No,13,Excellent,Low,8,2,3,4,3,1
585,30,0,Travel_Rarely,413,Sales,7,Below College,Marketing,Male,57,1,Sales Representative,Medium,Single,2983,18398,0,Yes,No,14,Excellent,Low,4,3,3,3,2,1
586,35,0,Travel_Rarely,1276,Research & Development,16,Bachelor,Life Sciences,Male,72,3,Healthcare Representative,High,Married,7632,14295,4,Yes,Yes,12,Excellent,High,10,2,3,8,7,0
587,31,1,Travel_Frequently,534,Research & Development,20,Bachelor,Life Sciences,Male,66,3,Healthcare Representative,High,Married,9824,22908,3,Yes,No,12,Excellent,Low,12,2,3,1,0,0
590,34,1,Travel_Frequently,988,Human Resources,23,Bachelor,Human Resources,Female,43,3,Human Resources,Low,Divorced,9950,11533,9,Yes,Yes,15,Excellent,High,11,2,3,3,2,0
591,42,0,Travel_Frequently,1474,Research & Development,5,College,Other,Male,97,1,Laboratory Technician,High,Married,2093,9260,4,Yes,No,17,Excellent,Very High,8,4,3,2,2,2
592,36,0,Non-Travel,635,Sales,10,Master,Medical,Male,32,3,Sales Executive,Very High,Single,9980,15318,1,Yes,No,14,Excellent,Very High,10,3,2,10,3,9
593,22,1,Travel_Frequently,1368,Research & Development,4,Below College,Technical Degree,Male,99,1,Laboratory Technician,High,Single,3894,9129,5,Yes,No,16,Excellent,High,4,3,3,2,2,1
595,48,0,Travel_Rarely,163,Sales,2,Doctor,Marketing,Female,37,2,Sales Executive,Very High,Married,4051,19658,2,Yes,No,14,Excellent,Low,14,2,3,9,7,6
597,55,0,Travel_Rarely,1117,Sales,18,Doctor,Life Sciences,Female,83,4,Manager,Medium,Single,16835,9873,3,Yes,No,23,Outstanding,Very High,37,2,3,10,9,7
599,41,0,Non-Travel,267,Sales,10,College,Life Sciences,Male,56,2,Sales Executive,Very High,Single,6230,13430,7,Yes,No,14,Excellent,Very High,16,3,3,14,3,1
600,35,0,Travel_Rarely,619,Sales,1,Bachelor,Marketing,Male,85,2,Sales Executive,High,Married,4717,18659,9,Yes,No,11,Excellent,High,15,2,3,11,9,6
601,40,0,Travel_Rarely,302,Research & Development,6,Bachelor,Life Sciences,Female,75,4,Manufacturing Director,High,Single,13237,20364,7,Yes,No,15,Excellent,High,22,3,3,20,6,5
602,39,0,Travel_Frequently,443,Research & Development,8,Below College,Life Sciences,Female,48,1,Laboratory Technician,High,Married,3755,17872,1,Yes,No,11,Excellent,Low,8,3,3,8,3,0
604,31,0,Travel_Rarely,828,Sales,2,Below College,Life Sciences,Male,77,2,Sales Executive,Very High,Single,6582,8346,4,Yes,Yes,13,Excellent,High,10,2,4,6,5,0
605,42,0,Travel_Rarely,319,Research & Development,24,Bachelor,Medical,Male,56,3,Manufacturing Director,Low,Married,7406,6950,1,Yes,Yes,21,Outstanding,Very High,10,5,2,10,9,5
606,45,0,Travel_Rarely,561,Sales,2,Bachelor,Other,Male,61,2,Sales Executive,Medium,Married,4805,16177,0,Yes,No,19,Excellent,Medium,9,3,4,8,7,3
608,26,1,Travel_Frequently,426,Human Resources,17,Master,Life Sciences,Female,58,1,Human Resources,High,Divorced,2741,22808,0,Yes,Yes,11,Excellent,Medium,8,2,2,7,7,1
611,29,0,Travel_Rarely,232,Research & Development,19,Bachelor,Technical Degree,Male,34,2,Manufacturing Director,Very High,Divorced,4262,22645,4,Yes,No,12,Excellent,Medium,8,2,4,3,2,1
612,33,0,Travel_Rarely,922,Research & Development,1,Doctor,Medical,Female,95,4,Research Director,High,Divorced,16184,22578,4,Yes,No,19,Excellent,High,10,2,3,6,1,0
613,31,0,Travel_Rarely,688,Sales,7,Bachelor,Life Sciences,Male,44,3,Manager,Very High,Divorced,11557,25291,9,Yes,No,21,Outstanding,High,10,3,2,5,4,0
614,18,1,Travel_Frequently,1306,Sales,5,Bachelor,Marketing,Male,69,1,Sales Representative,Medium,Single,1878,8059,1,Yes,Yes,14,Excellent,Very High,0,3,3,0,0,0
615,40,0,Non-Travel,1094,Sales,28,Bachelor,Other,Male,58,3,Sales Executive,Low,Divorced,10932,11373,3,Yes,No,15,Excellent,High,20,2,3,1,0,0
616,41,0,Non-Travel,509,Research & Development,2,Master,Other,Female,62,2,Healthcare Representative,High,Single,6811,2112,2,Yes,Yes,17,Excellent,Low,10,3,3,8,7,0
618,26,0,Travel_Rarely,775,Sales,29,College,Medical,Male,45,2,Sales Executive,High,Divorced,4306,4267,5,Yes,No,12,Excellent,Low,8,5,3,0,0,0
620,35,0,Travel_Rarely,195,Sales,1,Bachelor,Medical,Female,80,2,Sales Executive,High,Single,4859,6698,1,Yes,No,16,Excellent,Very High,5,3,3,5,4,0
621,34,0,Travel_Rarely,258,Sales,21,Master,Life Sciences,Male,74,2,Sales Executive,Very High,Single,5337,19921,1,Yes,No,12,Excellent,Very High,10,3,3,10,7,5
622,26,1,Travel_Rarely,471,Research & Development,24,Bachelor,Technical Degree,Male,66,1,Laboratory Technician,Very High,Single,2340,23213,1,Yes,Yes,18,Excellent,Medium,1,3,1,1,0,0
623,37,0,Travel_Rarely,799,Research & Development,1,Bachelor,Technical Degree,Female,59,3,Manufacturing Director,Very High,Single,7491,23848,4,Yes,No,17,Excellent,Very High,12,3,4,6,5,1
624,46,0,Travel_Frequently,1034,Research & Development,18,Below College,Medical,Female,86,3,Healthcare Representative,High,Married,10527,8984,5,Yes,No,11,Excellent,Very High,28,3,2,2,2,1
625,41,0,Travel_Rarely,1276,Sales,2,Doctor,Life Sciences,Female,91,4,Manager,Low,Married,16595,5626,7,Yes,No,16,Excellent,Medium,22,2,3,18,16,11
626,37,0,Non-Travel,142,Sales,9,Master,Medical,Male,69,3,Sales Executive,Medium,Divorced,8834,24666,1,Yes,No,13,Excellent,Very High,9,6,3,9,5,7
630,52,0,Travel_Rarely,956,Research & Development,6,College,Technical Degree,Male,78,2,Research Scientist,Low,Divorced,5577,22087,3,Yes,Yes,12,Excellent,Medium,18,3,3,10,9,6
631,32,1,Non-Travel,1474,Sales,11,Master,Other,Male,60,2,Sales Executive,High,Married,4707,23914,8,Yes,No,12,Excellent,Very High,6,2,3,4,2,1
632,24,0,Travel_Frequently,535,Sales,24,Bachelor,Medical,Male,38,1,Sales Representative,Very High,Married,2400,5530,0,Yes,No,13,Excellent,High,3,3,3,2,2,2
634,38,0,Travel_Rarely,1495,Research & Development,10,Bachelor,Medical,Female,76,2,Healthcare Representative,High,Married,9824,22174,3,Yes,No,19,Excellent,High,18,4,3,1,0,0
635,37,0,Travel_Rarely,446,Research & Development,1,Master,Life Sciences,Female,65,2,Manufacturing Director,Medium,Married,6447,15701,6,Yes,No,12,Excellent,Medium,8,2,2,6,5,4
638,49,0,Travel_Rarely,1245,Research & Development,18,Master,Life Sciences,Male,58,5,Research Director,High,Divorced,19502,2125,1,Yes,Yes,17,Excellent,High,31,5,3,31,9,0
639,24,0,Travel_Rarely,691,Research & Development,23,Bachelor,Medical,Male,89,1,Research Scientist,Very High,Married,2725,21630,1,Yes,Yes,11,Excellent,Medium,6,3,3,6,5,1
641,26,0,Travel_Rarely,703,Sales,28,College,Marketing,Male,66,2,Sales Executive,Medium,Married,6272,7428,1,Yes,No,20,Outstanding,Very High,6,5,4,5,3,1
643,24,0,Travel_Rarely,823,Research & Development,17,College,Other,Male,94,1,Laboratory Technician,Medium,Married,2127,9100,1,Yes,No,21,Outstanding,Very High,1,2,3,1,0,0
644,50,0,Travel_Frequently,1246,Human Resources,3,Bachelor,Medical,Male,99,5,Manager,Medium,Married,18200,7999,1,Yes,No,11,Excellent,High,32,2,3,32,5,10
645,25,0,Travel_Rarely,622,Sales,13,Below College,Medical,Male,40,1,Sales Representative,High,Married,2096,26376,1,Yes,No,11,Excellent,High,7,1,3,7,4,0
647,24,1,Travel_Frequently,1287,Research & Development,7,Bachelor,Life Sciences,Female,55,1,Laboratory Technician,High,Married,2886,14168,1,Yes,Yes,16,Excellent,Very High,6,4,3,6,3,1
648,30,1,Travel_Frequently,448,Sales,12,Master,Life Sciences,Male,74,1,Sales Representative,Low,Married,2033,14470,1,Yes,No,18,Excellent,High,1,2,4,1,0,0
649,34,0,Travel_Rarely,254,Research & Development,1,College,Life Sciences,Male,83,1,Research Scientist,Very High,Married,3622,22794,1,Yes,Yes,13,Excellent,Very High,6,3,3,6,5,1
650,31,1,Travel_Rarely,1365,Sales,13,Master,Medical,Male,46,2,Sales Executive,Low,Divorced,4233,11512,2,Yes,No,17,Excellent,High,9,2,1,3,1,1
652,35,0,Travel_Rarely,538,Research & Development,25,College,Other,Male,54,2,Laboratory Technician,Very High,Single,3681,14004,4,Yes,No,14,Excellent,Very High,9,3,3,3,2,0
653,31,0,Travel_Rarely,525,Sales,6,Master,Medical,Male,66,2,Sales Executive,Very High,Divorced,5460,6219,4,Yes,No,22,Outstanding,Very High,13,4,4,7,7,5
655,27,0,Travel_Rarely,798,Research & Development,6,Master,Medical,Female,66,1,Research Scientist,High,Divorced,2187,5013,0,Yes,No,12,Excellent,High,6,5,2,5,3,0
656,37,0,Travel_Rarely,558,Sales,2,Bachelor,Marketing,Male,75,2,Sales Executive,High,Married,9602,3010,4,Yes,Yes,11,Excellent,High,17,3,2,3,0,1
657,20,0,Travel_Rarely,959,Research & Development,1,Bachelor,Life Sciences,Female,83,1,Research Scientist,Medium,Single,2836,11757,1,Yes,No,13,Excellent,Very High,1,0,4,1,0,0
659,42,0,Travel_Rarely,622,Research & Development,2,Master,Life Sciences,Female,81,2,Healthcare Representative,Very High,Married,4089,5718,1,Yes,No,13,Excellent,Medium,10,4,3,10,2,2
661,43,0,Travel_Rarely,782,Research & Development,6,Master,Other,Male,50,4,Research Director,Very High,Divorced,16627,2671,4,Yes,Yes,14,Excellent,High,21,3,2,1,0,0
662,38,0,Travel_Rarely,362,Research & Development,1,Below College,Life Sciences,Female,43,1,Research Scientist,Low,Single,2619,14561,3,Yes,No,17,Excellent,Very High,8,3,2,0,0,0
663,43,0,Travel_Frequently,1001,Research & Development,9,Doctor,Medical,Male,72,2,Laboratory Technician,High,Divorced,5679,19627,3,Yes,Yes,13,Excellent,Medium,10,3,3,8,7,4
664,48,0,Travel_Rarely,1236,Research & Development,1,Master,Life Sciences,Female,40,4,Manager,Low,Married,15402,17997,7,Yes,No,11,Excellent,Low,21,3,1,3,2,0
665,44,0,Travel_Rarely,1112,Human Resources,1,Master,Life Sciences,Female,50,2,Human Resources,High,Single,5985,26894,4,Yes,No,11,Excellent,Medium,10,1,4,2,2,0
666,34,0,Travel_Rarely,204,Sales,14,Bachelor,Technical Degree,Female,31,1,Sales Representative,High,Divorced,2579,2912,1,Yes,Yes,18,Excellent,Very High,8,3,3,8,2,0
667,27,1,Travel_Rarely,1420,Sales,2,Below College,Marketing,Male,85,1,Sales Representative,Low,Divorced,3041,16346,0,Yes,No,11,Excellent,Medium,5,3,3,4,3,0
669,21,0,Travel_Rarely,1343,Sales,22,Below College,Technical Degree,Male,49,1,Sales Representative,High,Single,3447,24444,1,Yes,No,11,Excellent,High,3,2,3,3,2,1
671,44,0,Travel_Rarely,1315,Research & Development,3,Master,Other,Male,35,5,Manager,Very High,Married,19513,9358,4,Yes,Yes,12,Excellent,Low,26,2,4,2,2,0
675,22,0,Travel_Rarely,604,Research & Development,6,Below College,Medical,Male,69,1,Research Scientist,High,Married,2773,12145,0,Yes,No,20,Outstanding,Very High,3,3,3,2,2,2
677,33,0,Travel_Rarely,1216,Sales,8,Master,Marketing,Male,39,2,Sales Executive,High,Divorced,7104,20431,0,Yes,No,12,Excellent,Very High,6,3,3,5,0,1
679,32,0,Travel_Rarely,646,Research & Development,9,Master,Life Sciences,Female,92,2,Research Scientist,Very High,Married,6322,18089,1,Yes,Yes,12,Excellent,Very High,6,2,2,6,4,0
680,30,0,Travel_Frequently,160,Research & Development,3,Bachelor,Medical,Female,71,1,Research Scientist,High,Divorced,2083,22653,1,Yes,No,20,Outstanding,High,1,2,3,1,0,0
682,53,0,Travel_Rarely,238,Sales,1,Below College,Medical,Female,34,2,Sales Executive,Low,Single,8381,7507,7,Yes,No,20,Outstanding,Very High,18,2,4,14,7,8
683,34,0,Travel_Rarely,1397,Research & Development,1,Doctor,Life Sciences,Male,42,1,Research Scientist,Very High,Married,2691,7660,1,Yes,No,12,Excellent,Very High,10,4,2,10,9,8
684,45,1,Travel_Frequently,306,Sales,26,Master,Life Sciences,Female,100,2,Sales Executive,Low,Married,4286,5630,2,Yes,No,14,Excellent,Very High,5,4,3,1,1,0
686,26,0,Travel_Rarely,991,Research & Development,6,Bachelor,Life Sciences,Female,71,1,Laboratory Technician,Very High,Married,2659,17759,1,Yes,Yes,13,Excellent,High,3,2,3,3,2,0
689,37,0,Travel_Rarely,482,Research & Development,3,Bachelor,Other,Male,36,3,Manufacturing Director,High,Married,9434,9606,1,Yes,No,15,Excellent,High,10,2,3,10,7,7
690,29,0,Travel_Rarely,1176,Sales,3,College,Medical,Female,62,2,Sales Executive,High,Married,5561,3487,1,Yes,No,14,Excellent,Low,6,5,2,6,0,1
691,35,0,Travel_Rarely,1017,Research & Development,6,Master,Life Sciences,Male,82,2,Research Scientist,Very High,Single,6646,19368,1,Yes,No,13,Excellent,Medium,17,3,3,17,11,11
692,33,0,Travel_Frequently,1296,Research & Development,6,Bachelor,Life Sciences,Male,30,2,Healthcare Representative,Very High,Divorced,7725,5335,3,Yes,No,23,Outstanding,High,15,2,1,13,11,4
698,54,0,Travel_Rarely,397,Human Resources,19,Master,Medical,Male,88,3,Human Resources,Medium,Married,10725,6729,2,Yes,No,15,Excellent,High,16,1,4,9,7,7
699,36,0,Travel_Rarely,913,Research & Development,9,College,Medical,Male,48,2,Manufacturing Director,Medium,Divorced,8847,13934,2,Yes,Yes,11,Excellent,High,13,2,3,3,2,0
700,27,0,Travel_Rarely,1115,Research & Development,3,Master,Medical,Male,54,1,Research Scientist,Very High,Single,2045,15174,0,Yes,No,13,Excellent,Very High,5,0,3,4,2,1
701,20,1,Travel_Rarely,1362,Research & Development,10,Below College,Medical,Male,32,1,Research Scientist,High,Single,1009,26999,1,Yes,Yes,11,Excellent,Very High,1,5,3,1,0,1
702,33,1,Travel_Frequently,1076,Research & Development,3,Bachelor,Life Sciences,Male,70,1,Research Scientist,Low,Single,3348,3164,1,Yes,Yes,11,Excellent,Low,10,3,3,10,8,9
704,35,0,Non-Travel,727,Research & Development,3,Bachelor,Life Sciences,Male,41,1,Laboratory Technician,High,Married,1281,16900,1,Yes,No,18,Excellent,High,1,3,3,1,0,0
705,23,0,Travel_Rarely,885,Research & Development,4,Bachelor,Medical,Male,58,1,Research Scientist,Low,Married,2819,8544,2,Yes,No,16,Excellent,Low,5,3,4,3,2,0
707,25,0,Travel_Rarely,810,Sales,8,Bachelor,Life Sciences,Male,57,2,Sales Executive,Medium,Married,4851,15678,0,Yes,No,22,Outstanding,High,4,4,3,3,2,1
709,38,0,Travel_Rarely,243,Sales,7,Master,Marketing,Female,46,2,Sales Executive,Very High,Single,4028,7791,0,Yes,No,20,Outstanding,Low,8,2,3,7,7,0
710,29,0,Travel_Frequently,806,Research & Development,1,Master,Life Sciences,Male,76,1,Research Scientist,Very High,Divorced,2720,18959,1,Yes,No,18,Excellent,Very High,10,5,3,10,7,2
712,48,0,Travel_Rarely,817,Sales,2,Below College,Marketing,Male,56,2,Sales Executive,Medium,Married,8120,18597,3,Yes,No,12,Excellent,Very High,12,3,3,2,2,2
714,27,0,Travel_Frequently,1410,Sales,3,Below College,Medical,Female,71,2,Sales Executive,Very High,Divorced,4647,16673,1,Yes,Yes,20,Outstanding,Medium,6,3,3,6,5,0
715,37,0,Travel_Rarely,1225,Research & Development,10,College,Life Sciences,Male,80,1,Research Scientist,Very High,Single,4680,15232,3,Yes,No,17,Excellent,Low,4,2,3,1,0,0
716,50,0,Travel_Rarely,1207,Research & Development,28,Below College,Medical,Male,74,1,Laboratory Technician,High,Married,3221,3297,1,Yes,Yes,11,Excellent,High,20,3,3,20,8,3
717,34,0,Travel_Rarely,1442,Research & Development,9,Bachelor,Medical,Female,46,3,Healthcare Representative,Medium,Single,8621,17654,1,Yes,No,14,Excellent,Medium,9,3,4,8,7,7
720,24,1,Travel_Rarely,693,Sales,3,College,Life Sciences,Female,65,2,Sales Executive,High,Single,4577,24785,9,Yes,No,14,Excellent,Low,4,3,3,2,2,2
721,39,0,Travel_Rarely,408,Research & Development,2,Master,Technical Degree,Female,80,2,Healthcare Representative,High,Single,4553,20978,1,Yes,No,11,Excellent,Low,20,4,3,20,7,11
722,32,0,Travel_Rarely,929,Sales,10,Bachelor,Marketing,Male,55,2,Sales Executive,Very High,Single,5396,21703,1,Yes,No,12,Excellent,Very High,10,2,2,10,7,0
723,50,1,Travel_Frequently,562,Sales,8,College,Technical Degree,Male,50,2,Sales Executive,High,Married,6796,23452,3,Yes,Yes,14,Excellent,Low,18,4,3,4,3,1
724,38,0,Travel_Rarely,827,Research & Development,1,Master,Life Sciences,Female,33,2,Healthcare Representative,Very High,Single,7625,19383,0,Yes,No,13,Excellent,High,10,4,2,9,7,1
725,27,0,Travel_Rarely,608,Research & Development,1,College,Life Sciences,Female,68,3,Manufacturing Director,Low,Married,7412,6009,1,Yes,No,11,Excellent,Very High,9,3,3,9,7,0
727,32,0,Travel_Rarely,1018,Research & Development,3,College,Life Sciences,Female,39,3,Research Director,Very High,Single,11159,19373,3,Yes,No,15,Excellent,Very High,10,6,3,7,7,7
728,47,0,Travel_Rarely,703,Sales,14,Master,Marketing,Male,42,2,Sales Executive,Low,Single,4960,11825,2,Yes,No,12,Excellent,Very High,20,2,3,7,7,1
729,40,0,Travel_Frequently,580,Sales,5,Master,Life Sciences,Male,48,3,Sales Executive,Low,Married,10475,23772,5,Yes,Yes,21,Outstanding,High,20,2,3,18,13,1
730,53,0,Travel_Rarely,970,Research & Development,7,Bachelor,Life Sciences,Male,59,4,Research Director,High,Married,14814,13514,3,Yes,No,19,Excellent,High,32,3,3,5,1,1
731,41,0,Travel_Rarely,427,Human Resources,10,Master,Human Resources,Male,73,5,Manager,Very High,Divorced,19141,8861,3,Yes,No,15,Excellent,Medium,23,2,2,21,6,12
